name,location,origin,location_country,origin_country,origin_country_1,origin_country_2,origin_country_3,origin_country_4,origin_country_5,origin_country_6
El Salvador Los Cipreses,"Plymouth, MassachUnited Statesetts","Monte Verde, Santa Ana Department, El Salvador",United States,El Salvador,El Salvador,,,,,
Papua New Guinea Jiwaka Arufa Natural,"Fitchburg, Wisconsin","Wahgi Valley, Papua New Guinea",United States,Papua New Guinea,Papua New Guinea,,,,,
Nekisse Phantom Roasting,"Hong Kong, China","Sidamo growing region, Ethiopia",China,Ethiopia,Ethiopia,,,,,
Yellow Pacamara Carbonic Maceration Nanolot,"Cleveland, Ohio","Matagalpa growing region, Nicaragua",United States,Nicaragua,Nicaragua,,,,,
Kambera Inari Roasting,"Hong Kong, China","Piedra Candela, Panama",China,Panama,Panama,,,,,
Colombia Granja Paraíso Java P14,"Minneapolis, Minnesota","Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Mexico Finca Santa Cruz COE#1b,"Macao, China","La Concordia, Chiapas State, Mexico",China,Mexico,Mexico,,,,,
Single-Origin Ethiopia Espresso,"Hong Kona, China","Gedeb District, Gedeo Zone, Ethiopia",China,Ethiopia,Ethiopia,,,,,
Finca El Guarumal El Salvador Black Honey,"Hong Kong, China",El Salvador,China,El Salvador,El Salvador,,,,,
Brazil Santos #2 Inari Roasting,"Hong Kong, China","Sul de Minas, Cerrado Mineiro, Mogiana, and Matas de Minas growing regions, Brazil",China,Brazil,Brazil,,,,,
Ethiopia COE #8 Sidama Arbegona Muluneh Tute Galcho 74158 Natural,"Yilan, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ka’u Tropical Punch,"Minneapolis, Minnesota","Ka'u growing region, United States",United States,United States,United States,,,,,
Brazil Santos #2 Amber-Based Multi-Roasting,"Hong Kong, China","Sul de Minas, Cerrado Mineiro, Mogiana, and Matas de Minas growing regions, Brazil",China,Brazil,Brazil,,,,,
Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1,"Taipei, Taiwan","Chiriqui Province, Panama",Taiwan,Panama,Panama,,,,,
Colombia Finca Samboni Gesha Anaerobic Natural,"Floyd, Virginia","Algeciras, Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Don Correa Gesha,"Lexington, Virginia","San Jose, Caldas, Colombia",United States,Colombia,Colombia,,,,,
Costa Rica Canet MUnited Statesician Beethoven Enzyme-Washed,"Hong Kong, China","Tarrazu growing region, Costa Rica",China,Costa Rica,Costa Rica,,,,,
Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process,"Taipei, Taiwan","Bench-Maji Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Hayissa Olocho Lot 6,"Savannah, Georgia","Sidamo growing region, Ethiopia ",United States,Ethiopia,Ethiopia,,,,,
Burundi Kibingo,"Savannah, Georgia","Kayanza, Burundi",United States,Burundi,Burundi,,,,,
Colombia Finca Samboni Gesha Anaerobic Natural,"Floyd, Virginia","Algeciras, Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Granja Paraiso Decaf,"Minneapolis, Minnesota","Valle del Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Philippines Sitio San Roque RobUnited Statesta Anaerobic Natural,"Minneapolis, Minnesota","Bukidnon, Mindanao, Philippines",United States,Philippines,Philippines,,,,,
Ethiopia BergWu Maker Series Yirgacheffe Wuri G1 Lot MW21/02,"Hong Kong, China","Yirgacheffe growing region, Ethiopia",China,Ethiopia,Ethiopia,,,,,
Ethiopia Gera Genji Challa,"San Diego, California","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Kenya Ichamama,"San Diego, California","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Pantan MUnited Statesara,"Savannah, Georgia","Aceh Province, Sumatra, Indonesia",United States,Indonesia,Indonesia,,,,,
Kenya Gotomboya Peaberry,"San Diego, California","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Ethiopia Uchoro Nansebo Washed,"Floyd, Virginia","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Colombia Nariño Lucido Diaz Pink Bourbon,"Portland, Maine","Nariño Department, Columbia",United States,Columbia,Columbia,,,,,
El Salvador Finca El Retiro Sudan Rume Natural,"Chia-Yi, Taiwan","Apaneca-Ilamatepec growing region, El Salvador",Taiwan,El Salvador,El Salvador,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Chelbessa Ethiopia,"Madison, Wisconsin","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Honduras Paraiso El Aguacate Edis Sanchez Parainema Washed 1300M Lot 296,"Yilan, Taiwan","Guinope, Honduras",Taiwan,Honduras,Honduras,,,,,
Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Chelbessa Ethiopia,"Madison, Wisconsin","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Monte Alban Mexico,"Madison, Wisconsin","Yautepec, Miahuatlán, Oaxaca State, Mexico",United States,Mexico,Mexico,,,,,
Colombia El Vergel Guava Banana,"Charlotte, North Carolina","Tolima, Colombia",United States,Colombia,Colombia,,,,,
Monte Alban Mexico,"Madison, Wisconsin","Yautepec, Miahuatlán, Oaxaca State, Mexico",United States,Mexico,Mexico,,,,,
Monte Alban Mexico,"Madison, Wisconsin","Yautepec, Miahuatlán, Oaxaca State, Mexico",United States,Mexico,Mexico,,,,,
Guatemala Ovidio Ramirez,"Charlotte, North Carolina","Huehuetenango, Guatemala",United States,Guatemala,Guatemala,,,,,
Ethiopia Sidamo Assefa 74158 SLD Natural,"Taipei, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Gedeb Chelchele Slow Dry Washed,"Zhubei, Taiwan","Gedeb District, Gedeo Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Wild Strawberry Blend,"Zhubei, Taiwan",Costa Rica; Colombia,Taiwan,Costa Rica,Costa Rica,,,,,
Burundi,"Clark, Wyoming",Burundi,United States,Burundi,Burundi,,,,,
Ethiopia Guji Hamela Buku Abel Washed Process,"Taipei, Taiwan","Guji growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Co Co Bra Bra,"Yilan, Taiwan",Brazil; Colombia,Taiwan,Brazil,Brazil,,,,,
Fruit Candy Blend,"Taoyuan, Taiwan",Brazil; Guatemala; Tanzania; Ethiopia,Taiwan,Brazil,Brazil,,,,,
Dark Blend,"Taoyuan, Taiwan",Brazil; Guatemala; Colombia,Taiwan,Brazil,Brazil,,,,,
Panama Mama Cata Geisha Champagne Natural,"Minneapolis, Minnesota","Boquete growing region, Panama",United States,Panama,Panama,,,,,
Panama El Burro Estate Natural Gesha,"Chiya-Yi, Taiwan","Potrerillo Arriba, Boquete, Panama",Taiwan,Panama,Panama,,,,,
Panama Finca Mi Finquita Geisha Afrodita Natural,"Chiya-Yi, Taiwan","Tierras Altas, Chiriquí Province, Panama",Taiwan,Panama,Panama,,,,,
Panama Hacienda La Esmeralda Gesha,"Jersey City, New Jersey","Boquete growing region, Panama",United States,Panama,Panama,,,,,
Panama La Viuda Natural Geisha 4 Hermanos,"Chiya-Yi, Taiwan","Jurutungo, Renacimiento, Panama",Taiwan,Panama,Panama,,,,,
Panama Hacienda La Esmeralda Gesha,"Jersey City, New Jersey","Boquete growing region, Panama",United States,Panama,Panama,,,,,
Ethiopia Hambela Tetsu Process,"Macao, China","Guji Zone, Oromia Region, Ethiopia",China,Ethiopia,Ethiopia,,,,,
Panama Abu Geisha Lot 6,Branford Connecticut,"Cañas Verdes, Boquete growing region, Panama",Branford Connecticut,Panama,Panama,,,,,
Guatemala Acatenango Gesha,"San Diego, California","Acatenango, Guatemala",United States,Guatemala,Guatemala,,,,,
Natural Ka’u Maragogipe,"Mountain View, United States","Ka’u growing region, United States",United States,United States,United States,,,,,
Cerro Azul Geisha,"Madison, Wisconsin","Trujillo, Valle del Cauca, Colombia",United States,Colombia,Colombia,,,,,
Cerro Azul Geisha,"Madison, Wisconsin","Trujillo, Valle del Cauca, Colombia",United States,Colombia,Colombia,,,,,
Guatemala Acatenango Gesha,"San Diego, California","Acatenango, Guatemala",United States,Guatemala,Guatemala,,,,,
Haraaz Red,"Madison, Wisconsin","Al Mashtal ul Burhani, Yemen",United States,Yemen,Yemen,,,,,
Ethiopia Bench Maji Natural Gesha,"Taoyuan, Taiwan","Bench-Maji Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Haraaz Red,"Madison, Wisconsin","Al Mashtal ul Burhani, Yemen",United States,Yemen,Yemen,,,,,
El Socorro Maracaturra,"San Diego, California","Palencia, Guatemala",United States,Guatemala,Guatemala,,,,,
Costa Rica Luis Campos Termico,"Billings, Montana","Tarrazu, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Ethiopia Yirgacheffe Worka Sakaro,"Minneapolis, Minnesota","Gedeb District, Gedeo Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Kenya Nyeri AA Hercules,"Tainan City, Taiwan","Nyeri growing region, Kenya",Taiwan,Kenya,Kenya,,,,,
Espresso Blend,"Kaohsiung, Taiwan",Guatemala; Ethiopia,Taiwan,Guatemala,Guatemala,,,,,
Espresso Blend,"Tainan City, Taiwan",,Taiwan,,,,,,,
Costa Rica Central Valley Brandy Ball,"Kaohsiung, Taiwan","Central Valley, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Costa Rica Volcan Azul San Isidro Red Honey,"Topeka, Kansas","Poás Volcano region, Alajuela Province, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Ethiopia Demeka Becha,"Floyd, Virginia","Bona Zuria, Sidama Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Demeka Becha,"Floyd, Virginia","Bona Zuria, Sidama Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Espresso Blend,"Kaohsiung, Taiwan",Guatemala; Ethiopia,Taiwan,Guatemala; Ethiopia,Guatemala, Ethiopia,,,,
Espresso Blend,"Tainan City, Taiwan",,Taiwan,,,,,,,
Espresso Blend,"Kaohsiung, Taiwan",Guatemala; Ethiopia,Taiwan,Guatemala; Ethiopia,Guatemala, Ethiopia,,,,
Espresso Blend,"Tainan City, Taiwan",,Taiwan,,,,,,,
Espresso Blend,"Kaohsiung, Taiwan",Guatemala; Ethiopia,Taiwan,Guatemala; Ethiopia,Guatemala, Ethiopia,,,,
Espresso Blend,"Tainan City, Taiwan",,Taiwan,,,,,,,
Sweet Holiday Blend,"Floyd, Virginia",Colombia; Guatemala; Costa Rica; Ethiopia,United States,Colombia; Guatemala; Costa Rica; Ethiopia,Colombia, Guatemala, Costa Rica, Ethiopia,,
Kenya Kirinyaga,"Chia-Yi City, Taiwan",Kenya,Taiwan,Kenya,Kenya,,,,,
Ethiopia Nano Genji #5,"Grove City, Pennsylvania","Guji Zone, Oromia Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Espresso Blend,"Kaohsiung, Taiwan",Guatemala; Ethiopia,Taiwan,Guatemala; Ethiopia,Guatemala, Ethiopia,,,,
Espresso Blend,"Tainan City, Taiwan",,Taiwan,,,,,,,
Ethiopia Yirgacheffe Aramo,"Martinez, California","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Kenya Nyeri Gatomboya,"Martinez, California","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Subrosa Ethiopia Kayon Mountain Organic Natural,"Martinez, California","Odo Shakiso District, Guji Zone, Oromia region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Washed Sidama Bensa Bombe,"Chiya-Yi, Taiwan","Sidama Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Espresso Blend,"Kaohsiung, Taiwan",Guatemala; Ethiopia,Taiwan,Guatemala; Ethiopia,Guatemala, Ethiopia,,,,
Espresso Blend,"Tainan City, Taiwan",,Taiwan,,,,,,,
Finca Santa Isabel,"Antigua, Guatemala","Cobán, Alta Verapaz Department, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Esperanza Villa Sarchi,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Esperanza Villa Sarchi,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
El Pintado Classico,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Esperanza Bourbon,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Finca Santa Isabel,"Antigua, Guatemala","Cobán, Alta Verapaz Department, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Finca Santa Isabel,"Antigua, Guatemala","Cobán, Alta Verapaz Department, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Finca Santa Isabel,"Antigua, Guatemala","Cobán, Alta Verapaz Department, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Espresso No. 2,"Antigua, Guatemala","Alotenango, Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Finca Huixoc Maracaturra,"Antigua, Guatemala","Huehuetenango Department, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Las Moritas Yellow Caturra,"Antigua, Guatemala","El Progresso Department, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Finca San Carlos,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Finca San Carlos,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Finca San Carlos,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Proyecto Aurora,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Proyecto Aurora,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Proyecto Aurora,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Espresso Blend,"Kaohsiung, Taiwan",Guatemala; Ethiopia,Taiwan,Guatemala; Ethiopia,Guatemala, Ethiopia,,,,
Espresso Blend,"Tainan City, Taiwan",,Taiwan,,,,,,,
5a Sur,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
5a Poniente,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
5a Sur,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
5a Sur,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
5a Sur,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
5a Poniente,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
5a Poniente,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
5a Poniente,"Antigua, Guatemala","Antigua, Guatemala",Guatemala,Guatemala,Guatemala,,,,,
Espresso Blend,"Kaohsiung, Taiwan",Guatemala; Ethiopia,Taiwan,Guatemala; Ethiopia,Guatemala, Ethiopia,,,,
Espresso Blend,"Tainan City, Taiwan",,Taiwan,,,,,,,
Magic Cat Kenya Civet AFCA TOH NO.2 Gatuya Factory New Murarandia AA,"Taichung City, Taiwan","Murang'a County, Kenya",Taiwan,Kenya,Kenya,,,,,
Magic Cat Civet Ethiopia Sidamo Shantwene Litchi Rose Washed,"Taichung City, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Panama Elida ASD Natural,"Jersey City, New Jersey","Boquete growing region, Panama",United States,Panama,Panama,,,,,
Panama Hacienda La Esmeralda Gesha,"Chicago, Illinois","Boquete growing region, Panama",United States,Panama,Panama,,,,,
Panama Hacienda La Esmeralda Gesha,"Chicago, Illinois","Boquete growing region, Panama",United States,Panama,Panama,,,,,
Ethiopia Keramo Zero Oxygen Natural,"Redding, California","Keramo Village, Sidama Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Rum Barrel Aged Kauai Coffee,"Kalaheo, Kauai, Hawaii","Kalaheo, Kauai, Hawaii",United States,Hawaii,Hawaii,,,,,
Ethiopia Cup of Excellence Guji Natural,"Minneapolis, Minnesota","West Guji Zone, Hambela Wamena Woreda, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
United States Ka’u Champagne Natural,"Minneapolis, Minnesota","Ka’u growing region, United States",United States,United States,United States,,,,,
Ethiopia Natural Yirgacheffe Gr.1 Cleopatra,"Taoyuan, Taiwan","Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Taiwan Alishan Zhou-Zhu-Yuan Farm Estate Reserve Washed,"Taoyuan, Taiwan","Alishan, Taiwan",Taiwan,Taiwan,Taiwan,,,,,
Peru Yanesha Geisha,"Kaohsiung City, Taiwan","Pasco Department, Villa Rica, Peru",Taiwan,Peru,Peru,,,,,
Thailand Omkoi Sopa’s Estate,"Minneapolis, Minnesota","Omkoi District, Chiang Mai Province, Thailand",United States,Thailand,Thailand,,,,,
Ethiopia Guji Laayyoo Natural,"Minneapolis, Minnesota","Guji Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Espresso Blend,"Berkeley, California",Brazil; East Timor,United States,Brazil; East Timor,Brazil, East Timor,,,,
Ethiopia Sidama Telamo FTO Natural,"Berkeley, California","Sidamo (also Sidama) growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Peru Wilmer Alarcon Mirez,"Chicago, Illinois","Cajamarca, Peru",United States,Peru,Peru,,,,,
Burundi Buhorwa,"Chicago, Illinois","Kayanza Province, Burundi",United States,Burundi,Burundi,,,,,
Ethiopia Grade 1 Chelchele,"San Diego, California","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Espresso Blend,"Berkeley, California",Brazil; East Timor,United States,Brazil; East Timor,Brazil, East Timor,,,,
Espresso Blend,"Berkeley, California",Brazil; East Timor,United States,Brazil; East Timor,Brazil, East Timor,,,,
Espresso Blend,"Berkeley, California",Brazil; East Timor,United States,Brazil; East Timor,Brazil, East Timor,,,,
Honduras El Retono,"Kaohsiung City, Taiwan","La Paz, Honduras",Taiwan,Honduras,Honduras,,,,,
Ethiopia Sidama Bensa Bekele,"Truckee, California","Sidamo (also Sidama) growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Guatemala Bella Carmona,"Chicago, Illinois","Antigua growing region, Guatemala",United States,Guatemala,Guatemala,,,,,
Bowstring Christmas Blend,"Marysville, California",Africa; Central America,United States,Africa; Central America,Africa, Central America,,,,
Espresso Blend,"Berkeley, California",Brazil; East Timor,United States,Brazil; East Timor,Brazil, East Timor,,,,
Guatemala Bella Carmona,"Chicago, Illinois","Antigua growing region, Guatemala",United States,Guatemala,Guatemala,,,,,
Cual Bicicleta,"Harrisonburg, Virginia","Marcala, Honduras",United States,Honduras,Honduras,,,,,
Pena Blanca Black Honey,"Harrisonburg, Virginia","Los Planes, Comayagua, Honduras",United States,Honduras,Honduras,,,,,
La Joya,"Harrisonburg, Virginia","San Jose, La Paz, Honduras",United States,Honduras,Honduras,,,,,
Espresso Blend,"Berkeley, California",Brazil; East Timor,United States,Brazil; East Timor,Brazil, East Timor,,,,
Dharma Espresso Blend,"Sacramento, California",Brazil; Ethiopia; Costa Rica,United States,Brazil; Ethiopia; Costa Rica,Brazil, Ethiopia, Costa Rica,,,
Dharma Espresso Blend,"Sacramento, California",Brazil; Ethiopia; Costa Rica,United States,Brazil; Ethiopia; Costa Rica,Brazil, Ethiopia, Costa Rica,,,
Jose Cienfuegos Mexico,"Madison, Wisconsin","Veracruz, Mexico",United States,Mexico,Mexico,,,,,
Peru Chacra Don Dago,"ManliUnited States, New York","Villa Rica, Oxampampa, Pasco Department, Peru",United States,Peru,Peru,,,,,
Colombia Planadas,"ManliUnited States, New York","Tolima Department, Colombia",United States,Colombia,Colombia,,,,,
Sumatra Mutu Batak,"Thermopolis, Wyoming","Lintong growing region, North Sumatra Province, Indonesia",United States,Indonesia,Indonesia,,,,,
Vertical Support Espresso,"Marysville, California",,United States,,,,,,,
Espresso Blend,"Berkeley, California",Brazil; East Timor,United States,Brazil; East Timor,Brazil, East Timor,,,,
Espresso Blend,"Berkeley, California",Brazil; East Timor,United States,Brazil; East Timor,Brazil, East Timor,,,,
Kona Pointu®,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Colombia El Paraiso Geisha Luna Washed,"Osaka, Japan","Piendamo, Cauca Department, Colombia",Japan,Colombia,Colombia,,,,,
Costa Rica Volcán Azul Gesha Anaerobic Natural,"Topeka, Kansas","Poás Volcano, Alajuela, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Costa Rica Volcán Azul Gesha Anaerobic Natural,"San Diego, California","Poás Volcano, Alajuela, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Colombia Wilton Benitez Thermal Shock Geisha,"Chicago, Illinois","Piendamo, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Karen J Kona Red Bourbon,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Karen J Kona Red Bourbon,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Wilton Benitez Colombia Sidra,"Jersey City, New Jersey","Piendamo, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Ecuador Clara Luz Washed,"Taipei, Taiwan","Quilanga, Loja Province, Ecuador",Taiwan,Ecuador,Ecuador,,,,,
Karen J Kona Red Bourbon,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Guatemala Gesha,"Taoyuan, Taiwan","Aqua Dulce, Cuilco, Huehuetenango, Guatemala",Taiwan,Guatemala,Guatemala,,,,,
Colombia Huila Chiroso Anaerobic Natural,"Osaka, Japan","San Adolfo, Huila Department, Colombia",Japan,Colombia,Colombia,,,,,
Ka‘ū Cloud Typica,"Mountain View, Hawaii","Ka‘ū growing region, United States",United States,United States,United States,,,,,
Colombia Wilton Benitez Thermal Shock Red Bourbon,"Chicago, Illinois","Piendamo, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Taiwan Hualien WanMa Coffee Washed Arabica,"Hualien City, Taiwan","Hualien, Taiwan",Taiwan,Taiwan,Taiwan,,,,,
Taiwan Hualien 917 Farm Washed Arabica,"Hualien City, Taiwan","Hualien, Taiwan",Taiwan,Taiwan,Taiwan,,,,,
Colombia Tolima GeniUnited States,"Chicago, Illinois","Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Wilton Benitez Thermal Shock Caturra,"Chicago, Illinois","Piendamo, Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Monteblanco Coconut Lemonade,"Osaka, Japan","San Adolfo, Huila Department, Colombia",Japan,Colombia,Colombia,,,,,
Colombia Quindio Campo Hermoso WUnited Statesh WUnited Statesh,"Glendale, California","Armenia, Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Santa Monica Castillo Honey Lulo,"Floyd, Virginia","Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
El Vergel Rojo Fruit InfUnited Statesed,"Seoul, South Korea","Tolima growing region, Colombia",South Korea,Colombia,Colombia,,,,,
Hong Kong Blend,"Hong Kong, China",Brazil; Honduras; Colombia,China,Brazil; Honduras; Colombia,Brazil, Honduras, Colombia,,,
Ethiopia Boyefi Natural,"Hong Kong, China","Konga, Yirgacheffe growing region, Ethiopia",China,Ethiopia,Ethiopia,,,,,
Honduras La Salsa Gesha,"Buffalo, New York","El Cedral, Santa Barbara, Honduras",United States,Honduras,Honduras,,,,,
Costa Rica Volcán Azul Gesha Anaerobic Natural,"Topeka, Kansas","Poás Volcano, Alajuela, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Costa Rica Volcán Azul Gesha Anaerobic Natural,"San Diego, California","Poás Volcano, Alajuela, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Ethiopia Kayon Mountain,"Lexington, Virginia","Odo Shakiso District, Guji Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Costa Rica Tarrazu Double-Anaerobic Washed,"Taipei, Taiwan","Tarrazu, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Colombia Finca Monteblanco Purple Caturra Passionfruit Washed,"Yilan, Taiwan","Huila Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Colombia Hermosa Co-Fermented Honey,"Livingston, Montana","Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Sphere Coffee Club Guatemala,"Long Island City, New York","Atitlan, Guatemala",United States,Guatemala,Guatemala,,,,,
African Dance Espresso Blend,"Hsinchu, Taiwan",Kenya; Ethiopia; Guatemala,Taiwan,Kenya; Ethiopia; Guatemala,Kenya, Ethiopia, Guatemala,,,
Colombia Calderon Honey,"Billings, Montana","Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Kenya Mukarimu Estate AA Barrel-Aged,"Glendale, California","Meru County, Kenya",United States,Kenya,Kenya,,,,,
Windsor Blend,"Hong Kong, China",Ethiopia; Rwanda,China,Ethiopia; Rwanda,Ethiopia, Rwanda,,,,
Colombia Las Flores Red Bourbon Natural,"Livingston, Montana","Acevedo, Huila Department, Colombia",United States,Colombia,Colombia,,,,,
